"name","category","color","経度","緯度"
"白石駅","train_station","white","140.626227","38.003486"
"和み処 白金茶寮","cafe","white","140.0980431","35.5227033"
"Labo白菊","bar","white","136.6480257","36.5595742"
"白山宮","church_cathedral","white","137.0467355","35.139596"
"白頭山","japanese_restaurant","white","131.507241","33.197057"
"山形大学生協小白川食堂テール","diner","white","140.349871","38.246002"
"白石内科小児科医院","health_and_medical","white","139.738261","35.830401"
"ネッツトヨタ札幌白石店","car_dealer","white","141.427525","43.038731"
"ゲオ大網白里店","video_game_store","white","140.3158769","35.5195333"
"白壁館","japanese_restaurant","white","137.864294","34.828471"
"だるま亭白老店","japanese_restaurant","white","141.2884542","42.5090533"
"白木屋阪神尼崎西口駅前店","japanese_restaurant","white","135.416706","34.717768"
"そば処白樺","food_stand","white","138.15209","35.99424"
"Honda Cars北海道環状通白石店","car_dealer","white","141.408852","43.067061"
"北陸新幹線白山総合車両基地用変電所","real_estate","white","136.543014","36.50586"
"広島白十字高陽店","desserts","white","132.503999","34.468572"
"ファミリーマート 天白向が丘店","convenience_store","white","137.0035811","35.1146638"
"白眉","pub","white","140.341934","35.492164"
"白川蛸焼","cafe","white","135.836538","34.701208"
"北野白梅町 ITADAKIYA","restaurant","white","135.7315133","35.038406"
"牛角　白井店","japanese_restaurant","white","140.0185783","35.7709221"
"白山菖蒲亭","hotel","white","136.3553818","36.2843897"
"スノーウェーブパーク白鳥高原","ski_resort","white","136.8053048","35.9573078"
"グランディ那須白河GC","travel","white","140.1574602","37.1409704"
"アライブ目白","retirement_home","white","139.703371","35.718977"
"すき家 白根店",,"white","139.0180175","37.7752844"
"グランドexiv 那須白河","hotel","white","140.1649404","37.1478166"
"白浜温泉","onsen","white","134.704296","34.783326"
"湯涌温泉総湯 白鷺の湯 休憩和室","hotel","white","136.6348242","36.5783146"
"ウエスト久留米白山店","japanese_restaurant","white","130.504304","33.310925"
"フルコンタクト空手白蓮会館東京墨田支部福地道場","martial_arts_club","white","139.8164716","35.7343982"
"賃貸メイト 白子中央店","real_estate_agent","white","136.5904036","34.8364625"
"大漁ずし白根店","sushi_restaurant","white","139.017985","37.775957"
"能生白山神社","religious_organization","white","137.99423","37.10691"
"白山石川広域消防本部","fire_department","white","136.5836419","36.496019"
"白髪山 (高知県本山町)","mountain","white","133.59","33.8166667"
"まるまつ 白石店","restaurant","white","140.623918","38.020828"
"［医療白衣ユニフォーム通販サイト］メディカルイーユニフォーム","clothing_store","white","139.6272263","35.4470997"
"株式会社白崎ケース店","shopping","white","139.7188425","35.6416122"
"田曽白浜","beach","white","136.7650942","34.3069845"
"目白学園","private_school","white","139.6793067","35.7160314"
"白石整形外科医院","plastic_surgeon","white","130.335181","33.542828"
"回転寿司なごやか亭白石本通店","japanese_restaurant","white","141.414126","43.046363"
"白木屋泉大津駅前店","japanese_restaurant","white","135.406514","34.503733"
"白川郷平瀬温泉","travel_company","white","136.9036111","36.1738333"
"目白陶幻倶楽部","education","white","139.7041634","35.7217277"
"白金台南薬局","pharmacy","white","139.725621","35.644287"
"白老町 一福亭","chinese_restaurant","white","141.3100491","42.5258548"
"Birch House Osaka 白樺の家","accommodation","white","136.8868328","35.1151431"
"白山神社","religious_organization","white","136.5739133","35.4929867"
"白木屋春日部西口駅前店",,"white","139.751176","35.979293"
"白梅スポーツクラブ","sports_and_recreation_venue","white","135.7149919","35.1137578"
"白晃","japanese_restaurant","white","137.238445","36.72909"
"白鳳館","event_planning","white","139.729885","35.638481"
"西日本シティ銀行白木原支店","bank_credit_union","white","130.48182","33.529236"
"白浜駅","train_station","white","135.387249","33.676013"
"白くま歯科","dentist","white","139.3408247","35.3375038"
"白い森十和田店","cupcake_shop","white","141.213082","40.611503"
"白鬚神社","religious_organization","white","139.8130977","35.7252375"
"リノベ不動産_札幌白石店","real_estate","white","141.3923659","43.0583864"
"白旗川橋梁","landmark_and_historical_building","white","140.1122023","35.5243646"
"白川","eat_and_drink","white","139.883883","35.732848"
"丼丸清澄白河店","japanese_restaurant","white","139.799176","35.682201"
"白楽天","chinese_restaurant","white","138.6862086","35.6928692"
"白川郷平瀬温泉 お宿湯の里","hotel","white","136.9052171","36.1683203"
"日産プリンス西東京販売株式会社府中白糸台店","car_dealer","white","139.51605","35.667506"
"居酒屋なっきょい 白石店","sake_bar","white","141.412663","43.054331"
"白滝発祥の地","public_plaza","white","143.2680067","43.9410795"
"小島白山堂",,"white","137.1136678","35.3334936"
"大田白蟻研究所","pest_control_service","white","129.8928764","32.74555"
"東白庵かりべ","japanese_restaurant","white","139.602962","35.663478"
"白島展望台","national_park","white","133.2844432","36.3381871"
"ファミリーマート 白井南瀬谷店","convenience_store","white","139.487866","35.4574683"
"出光白金プラチナ通りSS","gas_station","white","139.722028","35.641642"
"建築白石株式会社","real_estate","white","137.8477335","37.0321755"
"目白台交流館","community_center","white","139.7242661","35.7159911"
"日本基督教団白金教会","church_cathedral","white","139.714721","35.635918"
"まるまる菜園 ベジカフェ白浜","cafe","white","135.5650444","35.4886278"
"白百合保育園","preschool","white","130.367441","33.570329"
"ピタットハウス 清澄白河売買センター【江東区・不動産】",,"white","139.8063871","35.6814454"
"札幌市白石区川下","river","white","141.4505578","43.0690718"
"Lilly Nail 白河ネイルサロン","beauty_and_spa","white","140.2116969","37.1279073"
"白ばら","cafe","white","129.719528","33.17341"
"足のケア アンド 巻き爪 エムズ 白金通り店","beauty_salon","white","140.1099086","35.5313357"
"ペンションサンシャイン白馬","hotel","white","137.8685153","36.752837"
"白島小学校バドミントン","sports_club_and_league","white","132.4615189","34.4047425"
"白ひげ郵便局","health_food_store","white","142.186","43.5097"
"三重県立伊賀白鳳高等学校ヒューマンサービス科","school","white","136.1451861","34.7532583"
"ツルハドラッグ 白石本通店","pharmacy","white","141.422777","43.041552"
"内灘白帆台公園","park","white","136.6605845","36.676751"
"シャトレーゼ 上白根店","desserts","white","139.536172","35.493023"
"ヤマト運輸 福岡和白営業所(福岡和白)",,"white","130.4349558","33.6887986"
"南紀白浜温泉　白浜古賀の井リゾート&スパ　(Shirahama Coganoi Resort&Spa)","resort","white","135.3579854","33.6826758"
"白鳥","japanese_restaurant","white","139.44952","38.113143"
"白河市立 白坂幼稚園","preschool","white","140.1977907","37.0948128"
"白石の杜","health_and_medical","white","130.13978","33.191442"
"白樺高原キャンプ場","campground","white","137.6809233","35.2435667"
"東京白川鍼灸院","health_and_medical","white","140.3537736","37.4067922"
"スープカリーばぐばぐ白石店","japanese_restaurant","white","141.41749","43.037629"
"エクセレント天白ガーデンヒルズ","retirement_home","white","136.984199","35.116928"
"西宮白菜キッチン コルチナ","chinese_restaurant","white","135.339222","34.729778"
"石川県白山市 白山一里野温泉スキー場","ski_resort","white","136.7152629","36.2680521"
"スズキアリーナ和白","car_dealer","white","130.434472","33.689324"
"白バラ洋菓子店天久店","desserts","white","127.689717","26.230527"
"白井運輸","garbage_collection_service","white","139.755489","35.783224"
"白崎一雄","bicycle_shop","white","136.190967","35.94633"
"白寿庵","japanese_restaurant","white","133.749381","35.077179"
"白鳥","restaurant","white","139.646375","35.554257"
"景白中国鍼灸院","acupuncture","white","139.712542","35.688854"
"楽読名古屋天白鴨頭スクール","print_media","white","137.0034637","35.1239371"
"白鳳堂","shopping","white","132.587864","34.350064"
"【デコホーム】イオンモール白山店",,"white","136.586344","36.545979"
"新潟県立糸魚川白嶺高等学校","middle_school","white","137.8591317","37.0376775"
"ファイトフィット目黒白金","gym","white","139.719505","35.634399"
"八天庵白石支店","japanese_restaurant","white","141.419509","43.060977"
"白馬ペンション&ログホテル ミーティア(Hakuba METEOR Pension & Log Hotel)",,"white","137.843334","36.68919"
"東白髭公園テニスコート","park","white","139.6026426","35.7488567"
"ラボエム 白金台","pizza_restaurant","white","139.7226877","35.6391108"
"小滝橋動物病院 目白通り高度医療センター","veterinarian","white","139.748546","35.7663927"
"B&D調剤薬局 高蔵寺白山店",,"white","137.030711","35.270567"
"さっぽろ白石内科消化器クリニック","hospital","white","141.3969453","43.0454815"
"天白区役所","public_and_government_association","white","136.9750957","35.1224224"
"乗鞍岳 (白馬連峰)","mountain","white","137.8046","36.78054"
"千葉白菊幼稚園","preschool","white","140.091425","35.620571"
"白河信用金庫釜の子支店","banks","white","140.349514","37.111627"
"トヨタカローラ福島白河店","car_dealer","white","140.179627","37.123541"
"カラオケアーサー白子店","karaoke","white","140.396489","35.431269"
"湘南白百合学園幼稚園","preschool","white","144.3904361","42.9759753"
"白龍ラーメン","japanese_restaurant","white","130.298419","31.823236"
"城東区関目 理容 美容 エステ カット パーマ 香草カラー 白髪ぼかし 縮毛矯正 女性お顔そり ブライダルエステ リンパマッサージ 炭酸ジェルエステ","beauty_salon","white","135.5525994","34.7069222"
"白雲橋","bridge","white","136.943122","35.137076"
"白河西ロータリークラブ","community_services_non_profits","white","140.2108938","37.1302348"
"合掌村白川乡","skate_park","white","137.968272","36.2269569"
"大網白里整骨院","osteopathic_physician","white","140.3317273","35.5306197"
"白幡八幡神社","religious_organization","white","139.634349","35.488031"
"白竜湖リゾート","hotel","white","132.895315","34.504851"
"白新車体","automotive_repair","white","139.3393637","37.9596081"
"白鳥峠","structure_and_geography","white","135.3672222","35.4566667"
"美容室　towani　松山市　白髪染め　ミドル　ミセス　炭酸シャンプー　癒し","beauty_salon","white","132.7810489","33.8300725"
"白樺湖カヌースクール","boat_rental_and_training","white","138.241516","36.10531"
"白山峠茶屋　小松北浅井店","japanese_restaurant","white","136.4542987","36.3899327"
"白は池","lake","white","136.935181","35.031406"
"福岡市立和白丘中学校","middle_school","white","130.432944","33.696556"
"白州・尾白川","hiking_trail","white","138.298134","35.795775"
"白洗舎エコロ川津店","shopping","white","133.074673","35.49064"
"グルメシティ 白浜店","supermarket","white","135.345145","33.684351"
"大網白里市立大網小学校","school","white","140.317038","35.545169"
"吉田石油店白河インター給油所","gas_station","white","140.166287","37.122168"
"シャミネ 因幡の白うさぎ本舗","desserts","white","134.226125","35.493946"
"あーと和紙工房白水  Art washi kobo Hakusui  白水和纸工艺坊","retail","white","131.0944247","32.8240849"
"天白川植田周辺","river","white","136.9877397","35.1264313"
"白山台マルタパン","bakery","white","141.4614411","40.4880639"
"ニクバル・プロベッチョ 白子駅前店","steakhouse","white","136.5888704","34.8350841"
"広島白十字新涯店","candy_store","white","133.394915","34.460995"
"白馬の憩スポット/シェア店舗【 楓の駅 】","park","white","137.84824","36.6937523"
"白根神社","religious_organization","white","138.596201","36.624729"
"Music Together Legato - 江東区 森下・清澄白河＆墨田区両国・菊川＆中央区月島＆勝どき","music_school","white","139.7979677","35.6867817"
"南紀白浜 景勝の宿 浜千鳥の湯 海舟","hotel","white","135.3371715","33.6760584"
"白水バーベキュー","barbecue_restaurant","white","139.110143","36.4755416"
"犬の幼稚園 わんこラボ白川店","pet_store","white","136.8971157","35.1633891"
"炭火串焼白虎","restaurant","white","132.465317","34.393022"
"ホテル&コテージ白河関の里","hotel","white","140.2972049","37.0488012"
"白家園","chinese_restaurant","white","129.879285","32.742805"
"白眉笠寺店","chinese_restaurant","white","136.9305257","35.0909633"
"白塚","beach","white","140.5705331","36.1758279"
"和歌山県白浜町 千畳敷","landmark_and_historical_building","white","135.3942869","33.6524055"
"ベイシア 大網白里店","supermarket","white","140.3269723","35.5229695"
"岐阜県白鳥ウイングヒルズスキー場","ski_resort","white","136.802889","35.965693"
"白州郷牧場","farm","white","138.312631","35.792522"
"東白川村森林組合","logging_services","white","137.338874","35.662326"
"ホテル白根","hotel","white","138.4663269","35.6319575"
"御座白浜はまゆうバンガロー","campground","white","136.7635712","34.2739368"
"白山郷恵比壽神社","religious_organization","white","136.60652","36.495074"
"白石地区地域づくり協議会","community_services_non_profits","white","131.4731526","34.1742282"
"もくべぇ 白金店","japanese_restaurant","white","140.893101","37.056701"
"セーブオン白河関辺店","convenience_store","white","140.241732","37.097866"
"佐世保中央病院白十字会訪問看護ステーション","health_and_medical","white","129.7473864","33.1569819"
"白老／白老梅 by 澤田酒造","brewery","white","136.8593931","34.8588905"
"食遊館和白松川店","japanese_restaurant","white","127.707159","26.219903"
"鶴亀堂天白平針店","japanese_restaurant","white","137.001827","35.123552"
"和歌山ラーメン八両白浜新地店","japanese_restaurant","white","135.346375","33.682597"
"東北新幹線 新白河駅","train_station","white","140.1882192","37.1224486"
"白濱医院","health_and_medical","white","135.816662","34.60143"
"Times 白川リバーサイド","parking","white","130.710232","32.798602"
"白馬八方尾根スキースクール スタッフ寮","landmark_and_historical_building","white","137.8426982","36.7050933"
"白糠バスターミナル","bus_station","white","144.076309","42.956279"
"マ・シェリー白金高輪","pet_groomer","white","139.72798","35.644722"
"てっぱん紅白","barbecue_restaurant","white","135.508518","34.677456"
"白馬堂整骨院","hospital","white","134.006127","34.66185"
"ココカラファイン 清澄白河店","pharmacy","white","139.7990575","35.6823355"
"居酒屋白鶴","barbecue_restaurant","white","131.09649","31.473457"
"和白ヶ丘レディースクリニック","hospital","white","130.433488","33.692933"
"白川公園前停留場","landmark_and_historical_building","white","130.714","32.8056"
"白神紙商店","arts_and_crafts","white","133.667104","34.54202"
"白沢ホタルの里","park","white","136.91786","34.954678"
"白鷺神社","religious_organization","white","139.913269","36.440828"
"養老乃瀧白子店","bar","white","136.5937222","34.8354306"
"白浜荘オートキャンプ場","attractions_and_activities","white","136.036324","35.305424"
"白浜海岸 休憩所","landmark_and_historical_building","white","133.0978203","33.0505799"
"白磁工房クラフトマンスタジオa","art_gallery","white","135.4756797","34.7746346"
"白川郷平瀬温泉 白弓スキー場","ski_resort","white","136.890739","36.2493739"
"目白小学校 アゼリア門","elementary_school","white","139.70898","35.720716"
"白木屋山形駅前店","sake_bar","white","140.328517","38.247627"
"アトリエ空白","art_gallery","white","135.492937","34.711922"
"株式会社岐阜白鳥電気","hvac_services","white","136.7059983","35.5605939"
"白糸の滝","waterfall","white","130.790884","33.730629"
"白川郷 荻町城趾",,"white","136.9070846","36.2629665"
"白かば荘","lodge","white","138.660963","35.499579"
"白髭神社","religious_organization","white","135.909361","34.533003"
"白石ガーデンプレイス","shopping","white","141.3969786","43.0456973"
"玉宮鶏白湯鶏神","chicken_restaurant","white","136.7580448","35.4129327"
"ホンダカーズ愛知 天白島田店","car_dealer","white","136.980937","35.1199076"
"白金魚","japanese_restaurant","white","139.754575","35.6668199"
"白子ノ劇場","theatre","white","137.9175917","34.7525875"
"オーテック白河","cafe","white","140.30219","37.114677"
"福岡和白・PET画像診断クリニック","hospital","white","130.4328203","33.692156"
"アドベンチャーパーク 白馬つがいけwow","park","white","137.8609527","36.7546949"
"ファミリーマート 白滝橋店","convenience_store","white","131.6468637","33.1630461"
"Meteor Hakubaミーティア白馬","french_restaurant","white","137.8436339","36.6894217"
"茶処　青い空　白い月","tea_room","white","130.7108759","33.8263683"
"白木屋南海堺駅前店","japanese_restaurant","white","135.471654","34.580702"
"白根北中","public_school","white","139.0306946","37.8178194"
"白樺亭","chinese_restaurant","white","139.385381","36.274816"
"中学受験個別指導 SS-1 東京白金台教室",,"white","139.7252155","35.6372487"
"レストラン　ラ・セゾン　白山","restaurant","white","139.7488136","35.7253992"
"ファミリーマート 白河中田店","convenience_store","white","140.2343889","37.1184494"
"ユアーズ 白木店","grocery_store","white","132.662899","34.553105"
"白井駅連絡橋","bridge","white","140.054126","35.784736"
"バカ安八百屋和白店","fruits_and_vegetables","white","130.435054","33.682785"
"てこや 白鷺駅前店","japanese_restaurant","white","135.513641","34.549816"
